Time_UTC_Start,open,high,low,close,volume,quote_asset_volume,number_of_trades,base_asset_volume,quote_asset_volume,label
2018-07-24 21:00:00,8235.06,8241.78,8235.06,8240.01,27.349427,225313.65594742,126.0,13.953942,114953.78413021,1.0
2018-07-24 22:00:00,8256.73,8260.0,8255.0,8257.01,6.345446,52404.6592271,104.0,4.34946,35924.35945279,1.0
2018-07-24 23:00:00,8320.31,8330.0,8320.31,8328.25,14.701016,122401.64129594,160.0,12.262652,102102.06114341,1.0
2018-07-25 00:00:00,8397.24,8399.99,8355.2,8385.98,227.851533,1908882.766261,946.0,101.840837,853111.81968958,0.0
2018-07-25 01:00:00,8419.01,8420.83,8411.0,8417.99,30.732101,258645.96341203,228.0,17.987948,151388.09408198,0.0
2018-07-25 02:00:00,8409.67,8409.67,8398.01,8401.64,39.185433,329205.59335833,292.0,17.500645,147027.84877422,0.0
2018-07-25 03:00:00,8340.0,8341.8,8328.45,8334.13,13.48187,112380.07302036,148.0,4.480547,37354.74648526,0.0
2018-07-25 04:00:00,8374.31,8374.57,8361.03,8363.99,53.450352,447369.25790983,317.0,21.413243,179203.55491543,0.0
2018-07-25 05:00:00,8410.02,8414.59,8407.38,8410.01,17.372789,146127.37783165,165.0,9.853884,82898.50922686,0.0
2018-07-25 06:00:00,8434.99,8439.9,8429.5,8429.5,28.973445,244316.05961192,172.0,10.175586,85846.93485674,0.0
2018-07-25 07:00:00,8336.79,8340.0,8330.97,8336.75,25.118823,209405.49001497,189.0,9.9432,82916.43322084,0.0
2018-07-25 08:00:00,8335.0,8335.0,8325.0,8328.0,43.779399,364646.88354594,199.0,11.152198,92890.20485497,0.0
2018-07-25 09:00:00,8291.09,8292.08,8281.0,8281.05,17.791773,147452.21547863,197.0,4.331132,35893.97377099,0.0
2018-07-25 10:00:00,8224.31,8224.31,8212.0,8218.5,45.774822,376125.60133255,292.0,13.458793,110605.46250258,0.0
2018-07-25 11:00:00,8224.35,8229.82,8221.03,8223.0,26.719365,219740.65790823,215.0,9.648365,79353.85740601,0.0
